,Clase,Sobrevivió,Nombre,Sexo,Ticket,Tarifa
41,1,1,"Brown, Mrs. James Joseph (Margaret Tobin)",Mujer,PC 17610,27.7208
42,1,1,"Brown, Mrs. John Murray (Caroline Lane Lamson)",Mujer,11769,51.4792
43,1,1,"Bucknell, Mrs. William Robert (Emma Eliza Ward)",Mujer,11813,76.2917
44,1,1,"Burns, Miss. Elizabeth Margaret",Mujer,16966,134.5
45,1,0,"Butt, Major. Archibald Willingham",Hombre,113050,26.55
46,1,0,"Cairns, Mr. Alexander",Hombre,113798,31.0
47,1,1,"Calderhead, Mr. Edward Pennington",Hombre,PC 17476,26.2875
48,1,1,"Candee, Mrs. Edward (Helen Churchill Hungerford)",Mujer,PC 17606,27.4458
49,1,1,"Cardeza, Mr. Thomas Drake Martinez",Hombre,PC 17755,512.3292
50,1,1,"Cardeza, Mrs. James Warburton Martinez (Charlotte Wardle Drake)",Mujer,PC 17755,512.3292
51,1,0,"Carlsson, Mr. Frans Olof",Hombre,695,5.0
52,1,0,"Carrau, Mr. Francisco M",Hombre,113059,47.1
53,1,0,"Carrau, Mr. Jose Pedro",Hombre,113059,47.1
54,1,1,"Carter, Master. William Thornton II",Hombre,113760,120.0
55,1,1,"Carter, Miss. Lucile Polk",Mujer,113760,120.0
56,1,1,"Carter, Mr. William Ernest",Hombre,113760,120.0
57,1,1,"Carter, Mrs. William Ernest (Lucile Polk)",Mujer,113760,120.0
58,1,0,"Case, Mr. Howard Brown",Hombre,19924,26.0
59,1,1,"Cassebeer, Mrs. Henry Arthur Jr (Eleanor Genevieve Fosdick)",Mujer,17770,27.7208
60,1,0,"Cavendish, Mr. Tyrell William",Hombre,19877,78.85
61,1,1,"Cavendish, Mrs. Tyrell William (Julia Florence Siegel)",Mujer,19877,78.85
62,1,0,"Chaffee, Mr. Herbert Fuller",Hombre,W.E.P. 5734,61.175
63,1,1,"Chaffee, Mrs. Herbert Fuller (Carrie Constance Toogood)",Mujer,W.E.P. 5734,61.175
64,1,1,"Chambers, Mr. Norman Campbell",Hombre,113806,53.1
65,1,1,"Chambers, Mrs. Norman Campbell (Bertha Griggs)",Mujer,113806,53.1
66,1,1,"Chaudanson, Miss. Victorine",Mujer,PC 17608,262.375
67,1,1,"Cherry, Miss. Gladys",Mujer,110152,86.5
68,1,1,"Chevre, Mr. Paul Romaine",Hombre,PC 17594,29.7
69,1,1,"Chibnall, Mrs. (Edith Martha Bowerman)",Mujer,113505,55.0
70,1,0,"Chisholm, Mr. Roderick Robert Crispin",Hombre,112051,0.0
71,1,0,"Clark, Mr. Walter Miller",Hombre,13508,136.7792
72,1,1,"Clark, Mrs. Walter Miller (Virginia McDowell)",Mujer,13508,136.7792
73,1,1,"Cleaver, Miss. Alice",Mujer,113781,151.55
74,1,0,"Clifford, Mr. George Quincy",Hombre,110465,52.0
75,1,0,"Colley, Mr. Edward Pomeroy",Hombre,5727,25.5875
76,1,1,"Compton, Miss. Sara Rebecca",Mujer,PC 17756,83.1583
77,1,0,"Compton, Mr. Alexander Taylor Jr",Hombre,PC 17756,83.1583
78,1,1,"Compton, Mrs. Alexander Taylor (Mary Eliza Ingersoll)",Mujer,PC 17756,83.1583
79,1,1,"Cornell, Mrs. Robert Clifford (Malvina Helen Lamson)",Mujer,11770,25.7
80,1,0,"Crafton, Mr. John Bertram",Hombre,113791,26.55
81,1,0,"Crosby, Capt. Edward Gifford",Hombre,WE/P 5735,71.0
82,1,1,"Crosby, Miss. Harriet R",Mujer,WE/P 5735,71.0
83,1,1,"Crosby, Mrs. Edward Gifford (Catherine Elizabeth Halstead)",Mujer,112901,26.55
84,1,0,"Cumings, Mr. John Bradley",Hombre,PC 17599,71.2833
85,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",Mujer,PC 17599,71.2833
86,1,1,"Daly, Mr. Peter Denis ",Hombre,113055,26.55
87,1,1,"Daniel, Mr. Robert Williams",Hombre,113804,30.5
88,1,1,"Daniels, Miss. Sarah",Mujer,113781,151.55
89,1,0,"Davidson, Mr. Thornton",Hombre,F.C. 12750,52.0
90,1,1,"Davidson, Mrs. Thornton (Orian Hays)",Mujer,F.C. 12750,52.0
91,1,1,"Dick, Mr. Albert Adrian",Hombre,17474,57.0
92,1,1,"Dick, Mrs. Albert Adrian (Vera Gillespie)",Mujer,17474,57.0
93,1,1,"Dodge, Dr. Washington",Hombre,33638,81.8583
94,1,1,"Dodge, Master. Washington",Hombre,33638,81.8583
95,1,1,"Dodge, Mrs. Washington (Ruth Vidaver)",Mujer,33638,81.8583
96,1,0,"Douglas, Mr. Walter Donald",Hombre,PC 17761,106.425
97,1,1,"Douglas, Mrs. Frederick Charles (Mary Helene Baxter)",Mujer,PC 17558,247.5208
98,1,1,"Douglas, Mrs. Walter Donald (Mahala Dutton)",Mujer,PC 17761,106.425
99,1,1,"Duff Gordon, Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")",Mujer,11755,39.6
100,1,1,"Duff Gordon, Sir. Cosmo Edmund (""Mr Morgan"")",Hombre,PC 17485,56.9292
101,1,0,"Dulles, Mr. William Crothers",Hombre,PC 17580,29.7
102,1,1,"Earnshaw, Mrs. Boulton (Olive Potter)",Mujer,11767,83.1583
103,1,1,"Endres, Miss. Caroline Louise",Mujer,PC 17757,227.525
104,1,1,"Eustis, Miss. Elizabeth Mussey",Mujer,36947,78.2667
105,1,0,"Evans, Miss. Edith Corse",Mujer,PC 17531,31.6792
106,1,0,"Farthing, Mr. John",Hombre,PC 17483,221.7792
107,1,1,"Flegenheim, Mrs. Alfred (Antoinette)",Mujer,PC 17598,31.6833
108,1,1,"Fleming, Miss. Margaret",Mujer,17421,110.8833
109,1,1,"Flynn, Mr. John Irwin (""Irving"")",Hombre,PC 17474,26.3875
110,1,0,"Foreman, Mr. Benjamin Laventall",Hombre,113051,27.75
111,1,1,"Fortune, Miss. Alice Elizabeth",Mujer,19950,263.0
112,1,1,"Fortune, Miss. Ethel Flora",Mujer,19950,263.0
113,1,1,"Fortune, Miss. Mabel Helen",Mujer,19950,263.0
114,1,0,"Fortune, Mr. Charles Alexander",Hombre,19950,263.0
115,1,0,"Fortune, Mr. Mark",Hombre,19950,263.0
116,1,1,"Fortune, Mrs. Mark (Mary McDougald)",Mujer,19950,263.0
117,1,1,"Francatelli, Miss. Laura Mabel",Mujer,PC 17485,56.9292
118,1,0,"Franklin, Mr. Thomas Parham",Hombre,113778,26.55
119,1,1,"Frauenthal, Dr. Henry William",Hombre,PC 17611,133.65
120,1,1,"Frauenthal, Mr. Isaac Gerald",Hombre,17765,27.7208
121,1,1,"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",Mujer,PC 17611,133.65
122,1,1,"Frolicher, Miss. Hedwig Margaritha",Mujer,13568,49.5
123,1,1,"Frolicher-Stehli, Mr. Maxmillian",Hombre,13567,79.2
124,1,1,"Frolicher-Stehli, Mrs. Maxmillian (Margaretha Emerentia Stehli)",Mujer,13567,79.2
125,1,0,"Fry, Mr. Richard",Hombre,112058,0.0
126,1,0,"Futrelle, Mr. Jacques Heath",Hombre,113803,53.1
127,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",Mujer,113803,53.1
128,1,0,"Gee, Mr. Arthur H",Hombre,111320,38.5
129,1,1,"Geiger, Miss. Amalie",Mujer,113503,211.5
130,1,1,"Gibson, Miss. Dorothy Winifred",Mujer,112378,59.4
131,1,1,"Gibson, Mrs. Leonard (Pauline C Boeson)",Mujer,112378,59.4
132,1,0,"Giglio, Mr. Victor",Hombre,PC 17593,79.2
133,1,1,"Goldenberg, Mr. Samuel L",Hombre,17453,89.1042
134,1,1,"Goldenberg, Mrs. Samuel L (Edwiga Grabowska)",Mujer,17453,89.1042
135,1,0,"Goldschmidt, Mr. George B",Hombre,PC 17754,34.6542
136,1,1,"Gracie, Col. Archibald IV",Hombre,113780,28.5
137,1,1,"Graham, Miss. Margaret Edith",Mujer,112053,30.0
138,1,0,"Graham, Mr. George Edward",Hombre,PC 17582,153.4625
139,1,1,"Graham, Mrs. William Thompson (Edith Junkins)",Mujer,PC 17582,153.4625
140,1,1,"Greenfield, Mr. William Bertram",Hombre,PC 17759,63.3583
141,1,1,"Greenfield, Mrs. Leo David (Blanche Strouse)",Mujer,PC 17759,63.3583
142,1,0,"Guggenheim, Mr. Benjamin",Hombre,PC 17593,79.2
143,1,1,"Harder, Mr. George Achilles",Hombre,11765,55.4417
144,1,1,"Harder, Mrs. George Achilles (Dorothy Annan)",Mujer,11765,55.4417
145,1,1,"Harper, Mr. Henry Sleeper",Hombre,PC 17572,76.7292
146,1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",Mujer,PC 17572,76.7292
147,1,0,"Harrington, Mr. Charles H",Hombre,113796,42.4
148,1,0,"Harris, Mr. Henry Birkhardt",Hombre,36973,83.475
149,1,1,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",Mujer,36973,83.475
150,1,0,"Harrison, Mr. William",Hombre,112059,0.0
151,1,1,"Hassab, Mr. Hammad",Hombre,PC 17572,76.7292
152,1,1,"Hawksford, Mr. Walter James",Hombre,16988,30.0
153,1,1,"Hays, Miss. Margaret Bechstein",Mujer,11767,83.1583
154,1,0,"Hays, Mr. Charles Melville",Hombre,12749,93.5
155,1,1,"Hays, Mrs. Charles Melville (Clara Jennings Gregg)",Mujer,12749,93.5
156,1,0,"Head, Mr. Christopher",Hombre,113038,42.5
157,1,0,"Hilliard, Mr. Herbert Henry",Hombre,17463,51.8625
158,1,0,"Hipkins, Mr. William Edward",Hombre,680,50.0
159,1,1,"Hippach, Miss. Jean Gertrude",Mujer,111361,57.9792
160,1,1,"Hippach, Mrs. Louis Albert (Ida Sophia Fischer)",Mujer,111361,57.9792
161,1,1,"Hogeboom, Mrs. John C (Anna Andrews)",Mujer,13502,77.9583
162,1,0,"Holverson, Mr. Alexander Oskar",Hombre,113789,52.0
163,1,1,"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",Mujer,113789,52.0
164,1,1,"Homer, Mr. Harry (""Mr E Haven"")",Hombre,111426,26.55
165,1,1,"Hoyt, Mr. Frederick Maxfield",Hombre,19943,90.0
166,1,0,"Hoyt, Mr. William Fisher",Hombre,PC 17600,30.6958
167,1,1,"Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby)",Mujer,19943,90.0
168,1,1,"Icard, Miss. Amelie",Mujer,113572,80.0
169,1,0,"Isham, Miss. Ann Elizabeth",Mujer,PC 17595,28.7125
170,1,1,"Ismay, Mr. Joseph Bruce",Hombre,112058,0.0
171,1,0,"Jones, Mr. Charles Cresson",Hombre,694,26.0
172,1,0,"Julian, Mr. Henry Forbes",Hombre,113044,26.0
173,1,0,"Keeping, Mr. Edwin",Hombre,113503,211.5
174,1,0,"Kent, Mr. Edward Austin",Hombre,11771,29.7
175,1,0,"Kenyon, Mr. Frederick R",Hombre,17464,51.8625
176,1,1,"Kenyon, Mrs. Frederick R (Marion)",Mujer,17464,51.8625
177,1,1,"Kimball, Mr. Edwin Nelson Jr",Hombre,11753,52.5542
178,1,1,"Kimball, Mrs. Edwin Nelson Jr (Gertrude Parsons)",Mujer,11753,52.5542
179,1,0,"Klaber, Mr. Herman",Hombre,113028,26.55
180,1,1,"Kreuchen, Miss. Emilie",Mujer,24160,211.3375
181,1,1,"Leader, Dr. Alice (Farnham)",Mujer,17465,25.9292
182,1,1,"LeRoy, Miss. Bertha",Mujer,PC 17761,106.425
183,1,1,"Lesurer, Mr. Gustave J",Hombre,PC 17755,512.3292
184,1,0,"Lewy, Mr. Ervin G",Hombre,PC 17612,27.7208
185,1,0,"Lindeberg-Lind, Mr. Erik Gustaf (""Mr Edward Lingrey"")",Hombre,17475,26.55
186,1,1,"Lindstrom, Mrs. Carl Johan (Sigrid Posse)",Mujer,112377,27.7208
187,1,1,"Lines, Miss. Mary Conover",Mujer,PC 17592,39.4
188,1,1,"Lines, Mrs. Ernest H (Elizabeth Lindsey James)",Mujer,PC 17592,39.4
189,1,0,"Long, Mr. Milton Clyde",Hombre,113501,30.0
190,1,1,"Longley, Miss. Gretchen Fiske",Mujer,13502,77.9583
191,1,0,"Loring, Mr. Joseph Holland",Hombre,113801,45.5
192,1,1,"Lurette, Miss. Elise",Mujer,PC 17569,146.5208
193,1,1,"Madill, Miss. Georgette Alexandra",Mujer,24160,211.3375
194,1,0,"Maguire, Mr. John Edward",Hombre,110469,26.0
195,1,1,"Maioni, Miss. Roberta",Mujer,110152,86.5
196,1,1,"Marechal, Mr. Pierre",Hombre,11774,29.7
197,1,0,"Marvin, Mr. Daniel Warner",Hombre,113773,53.1
198,1,1,"Marvin, Mrs. Daniel Warner (Mary Graham Carmichael Farquarson)",Mujer,113773,53.1
199,1,1,"Mayne, Mlle. Berthe Antonine (""Mrs de Villiers"")",Mujer,PC 17482,49.5042
200,1,0,"McCaffry, Mr. Thomas Francis",Hombre,13050,75.2417
201,1,0,"McCarthy, Mr. Timothy J",Hombre,17463,51.8625
202,1,1,"McGough, Mr. James Robert",Hombre,PC 17473,26.2875
203,1,0,"Meyer, Mr. Edgar Joseph",Hombre,PC 17604,82.1708
204,1,1,"Meyer, Mrs. Edgar Joseph (Leila Saks)",Mujer,PC 17604,82.1708
205,1,0,"Millet, Mr. Francis Davis",Hombre,13509,26.55
206,1,0,"Minahan, Dr. William Edward",Hombre,19928,90.0
207,1,1,"Minahan, Miss. Daisy E",Mujer,19928,90.0
208,1,1,"Minahan, Mrs. William Edward (Lillian E Thorpe)",Mujer,19928,90.0
209,1,1,"Mock, Mr. Philipp Edmund",Hombre,13236,57.75
210,1,0,"Molson, Mr. Harry Markland",Hombre,113787,30.5
211,1,0,"Moore, Mr. Clarence Bloomfield",Hombre,113796,42.4
212,1,0,"Natsch, Mr. Charles H",Hombre,PC 17596,29.7
213,1,1,"Newell, Miss. Madeleine",Mujer,35273,113.275
214,1,1,"Newell, Miss. Marjorie",Mujer,35273,113.275
215,1,0,"Newell, Mr. Arthur Webster",Hombre,35273,113.275
216,1,1,"Newsom, Miss. Helen Monypeny",Mujer,11752,26.2833
217,1,0,"Nicholson, Mr. Arthur Ernest",Hombre,693,26.0
218,1,1,"Oliva y Ocana, Dona. Fermina",Mujer,PC 17758,108.9
219,1,1,"Omont, Mr. Alfred Fernand",Hombre,F.C. 12998,25.7417
220,1,1,"Ostby, Miss. Helene Ragnhild",Mujer,113509,61.9792
221,1,0,"Ostby, Mr. Engelhart Cornelius",Hombre,113509,61.9792
222,1,0,"Ovies y Rodriguez, Mr. Servando",Hombre,PC 17562,27.7208
223,1,0,"Parr, Mr. William Henry Marsh",Hombre,112052,0.0
224,1,0,"Partner, Mr. Austen",Hombre,113043,28.5
225,1,0,"Payne, Mr. Vivian Ponsonby",Hombre,12749,93.5
226,1,0,"Pears, Mr. Thomas Clinton",Hombre,113776,66.6
227,1,1,"Pears, Mrs. Thomas (Edith Wearne)",Mujer,113776,66.6
228,1,0,"Penasco y Castellana, Mr. Victor de Satode",Hombre,PC 17758,108.9
229,1,1,"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",Mujer,PC 17758,108.9
230,1,1,"Perreault, Miss. Anne",Mujer,12749,93.5
231,1,1,"Peuchen, Major. Arthur Godfrey",Hombre,113786,30.5
232,1,0,"Porter, Mr. Walter Chamberlain",Hombre,110465,52.0
233,1,1,"Potter, Mrs. Thomas Jr (Lily Alexenia Wilson)",Mujer,11767,83.1583
234,1,0,"Reuchlin, Jonkheer. John George",Hombre,19972,0.0
235,1,1,"Rheims, Mr. George Alexander Lucien",Hombre,PC 17607,39.6
236,1,0,"Ringhini, Mr. Sante",Hombre,PC 17760,135.6333
237,1,0,"Robbins, Mr. Victor",Hombre,PC 17757,227.525
238,1,1,"Robert, Mrs. Edward Scott (Elisabeth Walton McMillan)",Mujer,24160,211.3375
239,1,0,"Roebling, Mr. Washington Augustus II",Hombre,PC 17590,50.4958
240,1,1,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",Hombre,111428,26.55
241,1,0,"Rood, Mr. Hugh Roscoe",Hombre,113767,50.0
242,1,1,"Rosenbaum, Miss. Edith Louise",Mujer,PC 17613,27.7208
243,1,0,"Rosenshine, Mr. George (""Mr George Thorne"")",Hombre,PC 17585,79.2
244,1,0,"Ross, Mr. John Hugo",Hombre,13049,40.125
245,1,1,"Rothes, the Countess. of (Lucy Noel Martha Dyer-Edwards)",Mujer,110152,86.5
246,1,0,"Rothschild, Mr. Martin",Hombre,PC 17603,59.4
247,1,1,"Rothschild, Mrs. Martin (Elizabeth L. Barrett)",Mujer,PC 17603,59.4
248,1,0,"Rowe, Mr. Alfred G",Hombre,113790,26.55
249,1,1,"Ryerson, Master. John Borie",Hombre,PC 17608,262.375
250,1,1,"Ryerson, Miss. Emily Borie",Mujer,PC 17608,262.375
251,1,1,"Ryerson, Miss. Susan Parker ""Suzette""",Mujer,PC 17608,262.375
252,1,0,"Ryerson, Mr. Arthur Larned",Hombre,PC 17608,262.375
253,1,1,"Ryerson, Mrs. Arthur Larned (Emily Maria Borie)",Mujer,PC 17608,262.375
254,1,1,"Saalfeld, Mr. Adolphe",Hombre,19988,30.5
255,1,1,"Sagesser, Mlle. Emma",Mujer,PC 17477,69.3
256,1,1,"Salomon, Mr. Abraham L",Hombre,111163,26.0
257,1,1,"Schabert, Mrs. Paul (Emma Mock)",Mujer,13236,57.75
258,1,1,"Serepeca, Miss. Augusta",Mujer,113798,31.0
259,1,1,"Seward, Mr. Frederic Kimber",Hombre,113794,26.55
260,1,1,"Shutes, Miss. Elizabeth W",Mujer,PC 17582,153.4625
261,1,1,"Silverthorne, Mr. Spencer Victor",Hombre,PC 17475,26.2875
262,1,0,"Silvey, Mr. William Baird",Hombre,13507,55.9
263,1,1,"Silvey, Mrs. William Baird (Alice Munger)",Mujer,13507,55.9
264,1,1,"Simonius-Blumer, Col. Oberst Alfons",Hombre,13213,35.5
265,1,1,"Sloper, Mr. William Thompson",Hombre,113788,35.5
266,1,0,"Smart, Mr. John Montgomery",Hombre,113792,26.55
267,1,0,"Smith, Mr. James Clinch",Hombre,17764,30.6958
268,1,0,"Smith, Mr. Lucien Philip",Hombre,13695,60.0
269,1,0,"Smith, Mr. Richard William",Hombre,113056,26.0
270,1,1,"Smith, Mrs. Lucien Philip (Mary Eloise Hughes)",Mujer,13695,60.0
271,1,1,"Snyder, Mr. John Pillsbury",Hombre,21228,82.2667
272,1,1,"Snyder, Mrs. John Pillsbury (Nelle Stevenson)",Mujer,21228,82.2667
273,1,1,"Spedden, Master. Robert Douglas",Hombre,16966,134.5
274,1,1,"Spedden, Mr. Frederic Oakley",Hombre,16966,134.5
275,1,1,"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",Mujer,16966,134.5
276,1,0,"Spencer, Mr. William Augustus",Hombre,PC 17569,146.5208
277,1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",Mujer,PC 17569,146.5208
278,1,1,"Stahelin-Maeglin, Dr. Max",Hombre,13214,30.5
279,1,0,"Stead, Mr. William Thomas",Hombre,113514,26.55
280,1,1,"Stengel, Mr. Charles Emil Henry",Hombre,11778,55.4417
281,1,1,"Stengel, Mrs. Charles Emil Henry (Annie May Morris)",Mujer,11778,55.4417
282,1,1,"Stephenson, Mrs. Walter Bertram (Martha Eustis)",Mujer,36947,78.2667
283,1,0,"Stewart, Mr. Albert A",Hombre,PC 17605,27.7208
284,1,1,"Stone, Mrs. George Nelson (Martha Evelyn)",Mujer,113572,80.0
285,1,0,"Straus, Mr. Isidor",Hombre,PC 17483,221.7792
286,1,0,"Straus, Mrs. Isidor (Rosalie Ida Blun)",Mujer,PC 17483,221.7792
287,1,0,"Sutton, Mr. Frederick",Hombre,36963,32.3208
288,1,1,"Swift, Mrs. Frederick Joel (Margaret Welles Barron)",Mujer,17466,25.9292
289,1,1,"Taussig, Miss. Ruth",Mujer,110413,79.65
290,1,0,"Taussig, Mr. Emil",Hombre,110413,79.65
291,1,1,"Taussig, Mrs. Emil (Tillie Mandelbaum)",Mujer,110413,79.65
292,1,1,"Taylor, Mr. Elmer Zebley",Hombre,19996,52.0
293,1,1,"Taylor, Mrs. Elmer Zebley (Juliet Cummins Wright)",Mujer,19996,52.0
294,1,0,"Thayer, Mr. John Borland",Hombre,17421,110.8833
295,1,1,"Thayer, Mr. John Borland Jr",Hombre,17421,110.8833
296,1,1,"Thayer, Mrs. John Borland (Marian Longstreth Morris)",Mujer,17421,110.8833
297,1,1,"Thorne, Mrs. Gertrude Maybelle",Mujer,PC 17585,79.2
298,1,1,"Tucker, Mr. Gilbert Milligan Jr",Hombre,2543,28.5375
299,1,0,"Uruchurtu, Don. Manuel E",Hombre,PC 17601,27.7208
300,1,0,"Van der hoef, Mr. Wyckoff",Hombre,111240,33.5
301,1,0,"Walker, Mr. William Anderson",Hombre,36967,34.0208
302,1,1,"Ward, Miss. Anna",Mujer,PC 17755,512.3292
303,1,0,"Warren, Mr. Frank Manley",Hombre,110813,75.25
304,1,1,"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",Mujer,110813,75.25
305,1,0,"Weir, Col. John",Hombre,113800,26.55
306,1,0,"White, Mr. Percival Wayland",Hombre,35281,77.2875
307,1,0,"White, Mr. Richard Frasar",Hombre,35281,77.2875
308,1,1,"White, Mrs. John Stuart (Ella Holmes)",Mujer,PC 17760,135.6333
309,1,1,"Wick, Miss. Mary Natalie",Mujer,36928,164.8667
310,1,0,"Wick, Mr. George Dennick",Hombre,36928,164.8667
311,1,1,"Wick, Mrs. George Dennick (Mary Hitchcock)",Mujer,36928,164.8667
312,1,0,"Widener, Mr. George Dunton",Hombre,113503,211.5
313,1,0,"Widener, Mr. Harry Elkins",Hombre,113503,211.5
314,1,1,"Widener, Mrs. George Dunton (Eleanor Elkins)",Mujer,113503,211.5
315,1,1,"Willard, Miss. Constance",Mujer,113795,26.55
316,1,0,"Williams, Mr. Charles Duane",Hombre,PC 17597,61.3792
317,1,1,"Williams, Mr. Richard Norris II",Hombre,PC 17597,61.3792
318,1,0,"Williams-Lambert, Mr. Fletcher Fellows",Hombre,113510,35.0
319,1,1,"Wilson, Miss. Helen Alice",Mujer,16966,134.5
320,1,1,"Woolner, Mr. Hugh",Hombre,19947,35.5
321,1,0,"Wright, Mr. George",Hombre,113807,26.55
322,1,1,"Young, Miss. Marie Grice",Mujer,PC 17760,135.6333
323,2,0,"Abelson, Mr. Samuel",Hombre,P/PP 3381,24.0
324,2,1,"Abelson, Mrs. Samuel (Hannah Wizosky)",Mujer,P/PP 3381,24.0
325,2,0,"Aldworth, Mr. Charles Augustus",Hombre,248744,13.0
326,2,0,"Andrew, Mr. Edgardo Samuel",Hombre,231945,11.5
327,2,0,"Andrew, Mr. Frank Thomas",Hombre,C.A. 34050,10.5
328,2,0,"Angle, Mr. William A",Hombre,226875,26.0
329,2,1,"Angle, Mrs. William A (Florence ""Mary"" Agnes Hughes)",Mujer,226875,26.0
330,2,0,"Ashby, Mr. John",Hombre,244346,13.0
331,2,0,"Bailey, Mr. Percy Andrew",Hombre,29108,11.5
332,2,0,"Baimbrigge, Mr. Charles Robert",Hombre,C.A. 31030,10.5
333,2,1,"Ball, Mrs. (Ada E Hall)",Mujer,28551,13.0
334,2,0,"Banfield, Mr. Frederick James",Hombre,C.A./SOTON 34068,10.5
335,2,0,"Bateman, Rev. Robert James",Hombre,S.O.P. 1166,12.525
336,2,1,"Beane, Mr. Edward",Hombre,2908,26.0
337,2,1,"Beane, Mrs. Edward (Ethel Clarke)",Mujer,2908,26.0
338,2,0,"Beauchamp, Mr. Henry James",Hombre,244358,26.0
339,2,1,"Becker, Master. Richard F",Hombre,230136,39.0
340,2,1,"Becker, Miss. Marion Louise",Mujer,230136,39.0
341,2,1,"Becker, Miss. Ruth Elizabeth",Mujer,230136,39.0
342,2,1,"Becker, Mrs. Allen Oliver (Nellie E Baumgardner)",Mujer,230136,39.0
343,2,1,"Beesley, Mr. Lawrence",Hombre,248698,13.0
344,2,1,"Bentham, Miss. Lilian W",Mujer,28404,13.0
345,2,0,"Berriman, Mr. William John",Hombre,28425,13.0
346,2,0,"Botsford, Mr. William Hull",Hombre,237670,13.0
347,2,0,"Bowenur, Mr. Solomon",Hombre,211535,13.0
348,2,0,"Bracken, Mr. James H",Hombre,220367,13.0
349,2,1,"Brown, Miss. Amelia ""Mildred""",Mujer,248733,13.0
350,2,1,"Brown, Miss. Edith Eileen",Mujer,29750,39.0
